,,carrier,n0,n1,n2,n3
generators,capital,CCGT,0.0,0.0,0.0,0.0
generators,capital,CSP,6299.74,6299.74,6299.74,6299.74
generators,capital,OCGT,1654.77,1654.77,1654.77,1654.77
generators,capital,biomass,1928.39,1928.39,1928.39,1928.39
generators,capital,coal,44780.69,44780.69,44780.69,44780.69
generators,capital,gas,642.99,642.99,642.99,642.99
generators,capital,hydro,0.0,0.0,0.0,0.0
generators,capital,hydro-import,0.0,0.0,0.0,0.0
generators,capital,load_shedding,0.0,0.0,0.0,0.0
generators,capital,nuclear,2200.7,2200.7,2200.7,2200.7
generators,capital,onwind,15916.53,15916.53,15916.53,15916.53
generators,capital,solar,4634.55,43460.47,4634.55,78556.22
generators,marginal,CCGT,0.0,0.0,0.0,0.0
generators,marginal,CSP,0.0,0.0,0.0,0.0
generators,marginal,OCGT,0.0,0.0,0.0,0.0
generators,marginal,biomass,0.0,0.0,0.0,0.0
generators,marginal,coal,30.08,12.2,30.08,14.95
generators,marginal,gas,0.32,0.32,0.32,0.45
generators,marginal,hydro,0.84,0.43,0.84,0.21
generators,marginal,hydro-import,1.51,1.49,1.51,0.48
generators,marginal,load_shedding,0.0,0.0,0.0,0.0
generators,marginal,nuclear,0.74,0.74,0.74,0.66
generators,marginal,onwind,5.99,5.98,5.99,0.0
generators,marginal,solar,4.43,4.42,4.43,0.0
storage_units,capital,PHS,4075.03,4075.03,4075.03,4075.03
storage_units,capital,battery,0.0,0.0,0.0,0.0
storage_units,marginal,PHS,0.0,0.0,0.0,0.0
storage_units,marginal,battery,0.0,0.0,0.0,0.0
lines,capital,AC,89495.07,89494.95,89494.84,89519.12
