,,carrier,n0,n1,n2,n3
generators,capital,CCGT,0.0,0.0,0.0,53.0
generators,capital,CSP,356.46,356.46,356.46,356.46
generators,capital,OCGT,798.07,740.93,675.37,344.02
generators,capital,biomass,109.11,109.11,109.11,109.11
generators,capital,coal,2533.85,2533.85,2533.85,2533.85
generators,capital,gas,36.38,36.38,36.38,36.38
generators,capital,hydro,0.0,0.0,0.0,0.0
generators,capital,hydro-import,0.0,0.0,0.0,0.0
generators,capital,load_shedding,0.0,0.0,0.0,0.0
generators,capital,nuclear,124.52,124.52,124.52,124.52
generators,capital,onwind,900.61,2296.7,3398.45,5544.64
generators,capital,solar,651.9,893.3,1471.96,1375.64
generators,marginal,CCGT,0.0,0.0,0.0,183.52
generators,marginal,CSP,0.0,0.0,0.0,0.0
generators,marginal,OCGT,77.87,21.46,12.85,1.12
generators,marginal,biomass,0.0,0.0,0.0,0.0
generators,marginal,coal,3517.08,2327.52,1427.9,2904.85
generators,marginal,gas,45.04,41.54,40.97,56.48
generators,marginal,hydro,101.62,69.55,36.38,46.17
generators,marginal,hydro-import,172.1,158.17,103.31,79.17
generators,marginal,load_shedding,0.0,0.0,0.0,0.0
generators,marginal,nuclear,107.08,106.35,99.17,89.18
generators,marginal,onwind,746.35,744.01,743.26,0.0
generators,marginal,solar,537.97,537.18,537.03,0.0
storage_units,capital,PHS,230.58,230.58,230.58,230.58
storage_units,capital,battery,63.9,0.0,0.0,384.91
storage_units,marginal,PHS,0.0,0.0,0.0,0.0
storage_units,marginal,battery,0.0,0.0,0.0,0.0
lines,capital,AC,5064.47,5064.42,5064.43,5083.02
