carrier,n0,n1,n2,n3
CCGT,0.0,0.0,0.0,0.0
CSP,1040.4847949999998,1040.4847949999998,1040.4847949999998,1020.502642
OCGT,0.0,0.0,0.0,0.0
biomass,402.5134129999999,402.5134129999999,402.5134129999999,325.05638999999996
coal,79680.51979696823,38696.233259303415,79680.5197969683,8592.0
gas,210.0,210.0,210.0,210.0
hydro,2418.298664,1234.6938530000002,2418.298664,607.306338
hydro-import,5038.913678,4965.771201560123,5038.913678,1586.0854363528747
load_shedding,0.0,0.0,0.0,0.0
nuclear,5315.586638,5315.586638,5315.586638,4725.1712611712655
onwind,20267.878767000002,20230.216831,20267.878767000002,20525.995863
solar,8621.514781,51376.90792178345,8621.514781,85895.70084024311
