carrier,Before,n0,n1,n2,n3
CCGT,0.00,0.00,0.00,0.00,0.00
CSP,600.00,600.00,600.00,600.00,600.00
OCGT,0.00,2704.48,2704.48,2704.48,2704.48
biomass,193.06,193.06,193.06,193.06,193.06
coal,40484.00,40484.00,40484.00,40484.00,40484.00
gas,3844.00,3844.00,3844.00,3844.00,3844.00
hydro,683.02,683.02,683.02,683.02,683.02
hydro-import,1764.00,1764.00,1764.00,1764.00,1764.00
load_shedding,27000000.00,27000000.00,27000000.00,27000000.00,27000000.00
nuclear,1854.00,1854.00,1854.00,1854.00,1854.00
onwind,5190.59,13290.59,13290.59,13290.59,13290.59
solar,4047.07,41741.93,41741.93,68996.28,9717.07
