carrier,Before,n0,n1,n2,n3
CCGT,0.0,0.0,0.0,0.0,0.0
CSP,600.0,0.6,600.0,600.0,600.0
OCGT,0.0,1.415164941,1415.164941,1415.164941,1415.164941
biomass,193.06,0.19306,193.06,193.06,193.06
coal,40284.0,40.284,40284.0,40284.0,40284.0
gas,3844.0,3.844,3844.0,3844.0,3844.0
hydro,683.02,0.68302,683.02,683.02,683.02
hydro-import,1764.0,1.764,1764.0,1764.0,1764.0
load_shedding,27000000.0,27000.0,27000000.0,27000000.0,27000000.0
nuclear,1854.0,1.854,1854.0,1854.0,1854.0
onwind,5190.59,13.29059,13290.59,13290.59,13290.59
solar,4047.07,9.71707,57217.50850866035,9717.07,100154.36640844065
