,StorageUnit,n0,n1,n2,n3
storage_p_sum,BLOEMFONTEIN battery_2030,5.123568236342635e-12,,,
storage_p_sum,Drakensberg,-195820.27374662328,-363900.31651888404,-568198.0630959229,-571466.6056341474
storage_p_sum,Ingula,-666108.9385778945,-842912.3971669677,-895874.5703597218,-841462.7202703147
storage_p_sum,KAROO battery_2030,-2.9579760862930016e-10,,1.0262993996623225e-10,
storage_p_sum,KIMBERLEY battery_2028,-1.6158732685234156e-10,,,-4.547473508864641e-13
storage_p_sum,KIMBERLEY battery_2030,-8.136513685030877e-11,,1.3034906487519038e-11,-118657.64282907467
storage_p_sum,LADYSMITH battery_2030,-5.761718879782052e-11,,,
storage_p_sum,LOWVELD battery_2030,8.602452084005563e-12,,,-3.410605131648481e-13
storage_p_sum,NAMAQUALAND battery_2030,-181864.86050561653,,-1.9577168662090766e-10,-75857.72047674138
storage_p_sum,NEWCASTLE battery_2030,-5.487754155142348e-10,,5.814478665620488e-10,
storage_p_sum,PENINSULA battery_2030,7.958078640513122e-13,,,-4.547473508864641e-13
storage_p_sum,PORT ELIZABETH battery_2030,6.45172804070171e-11,,,6.252776074688882e-13
storage_p_sum,Palmiet,-138410.05471803638,-186542.46007484497,-228556.4158483913,-172973.712364583
storage_p_sum,RUSTENBURG battery_2030,-2.7626290144411314e-11,,,
storage_p_sum,Steenbras,-310.61754830642553,-3442.7096206350443,-40852.56301463398,-24515.106868450886
storage_p_sum,WARMBAD battery_2030,-2.1906231062584867e-11,,,-45646.91677081715
storage_p_sum,WATERBERG battery_2030,1.8327802790887007e-11,,9.875128654706107e-11,-3.020423573948904e-13
storage_p_sum,WELKOM battery_2030,-2.886110794797503e-10,,5.49591483434142e-11,
storage_p_sum,HIGHVELD NORTH battery_2030,,,1.6455938904601075e-11,
storage_p_sum,HIGHVELD SOUTH battery_2030,,,-4.4209969018993434e-11,
storage_p_sum,JOHANNESBURG battery_2030,,,3.856825969705824e-11,
storage_p_sum,NIGEL battery_2030,,,1.2689893580386524e-10,
storage_p_sum,PINETOWN battery_2030,,,8.049028110690415e-11,
storage_p_sum,POLOKWANE battery_2030,,,-1.7442602917583372e-11,
storage_p_sum,VAAL TRIANGLE battery_2030,,,3.629366394781128e-11,
storage_p_sum,BLOEMFONTEIN battery_2020,,,,-9.532641342957504e-11
storage_p_sum,BLOEMFONTEIN battery_2022,,,,-7.275957614183426e-12
storage_p_sum,BLOEMFONTEIN battery_2024,,,,-7.240430477395421e-11
storage_p_sum,BLOEMFONTEIN battery_2026,,,,-5.3091753215994686e-11
storage_p_sum,BLOEMFONTEIN battery_2028,,,,-2.027888967859326e-11
storage_p_sum,CARLETONVILLE battery_2020,,,,-1.993072373807081e-12
storage_p_sum,CARLETONVILLE battery_2022,,,,3.7267966490617255e-12
storage_p_sum,CARLETONVILLE battery_2024,,,,8.313350008393172e-12
storage_p_sum,CARLETONVILLE battery_2026,,,,-3.4345859489803843e-12
storage_p_sum,CARLETONVILLE battery_2028,,,,2.7198243657267085e-12
storage_p_sum,CARLETONVILLE battery_2030,,,,-377523.1832051504
storage_p_sum,EAST LONDON battery_2020,,,,3.4485634668377085e-12
storage_p_sum,EAST LONDON battery_2022,,,,6.046434237669444e-12
storage_p_sum,EAST LONDON battery_2024,,,,2.8137492336099967e-12
storage_p_sum,EAST LONDON battery_2026,,,,-3.780087354243733e-12
storage_p_sum,EAST LONDON battery_2028,,,,-3.716289773474646e-13
storage_p_sum,EAST LONDON battery_2030,,,,-4187.53134173212
storage_p_sum,EMPANGENI battery_2020,,,,5.9472426983120386e-12
storage_p_sum,EMPANGENI battery_2022,,,,6.44940914823556e-13
storage_p_sum,EMPANGENI battery_2024,,,,-1.4358637975665171e-12
storage_p_sum,EMPANGENI battery_2026,,,,-3.296918293926865e-12
storage_p_sum,EMPANGENI battery_2028,,,,-1.4779288903810084e-12
storage_p_sum,HIGHVELD NORTH battery_2020,,,,7.304389235382144e-13
storage_p_sum,HIGHVELD NORTH battery_2022,,,,6.211564596014796e-11
storage_p_sum,HIGHVELD NORTH battery_2024,,,,1.2432721518962353e-11
storage_p_sum,HIGHVELD NORTH battery_2026,,,,5.621813134157081e-12
storage_p_sum,HIGHVELD NORTH battery_2028,,,,-4.281019982954604e-12
storage_p_sum,HIGHVELD SOUTH battery_2020,,,,-4.6412651499849744e-10
storage_p_sum,HIGHVELD SOUTH battery_2022,,,,-2.1316282072803006e-10
storage_p_sum,HIGHVELD SOUTH battery_2024,,,,2.637534635141492e-11
storage_p_sum,HIGHVELD SOUTH battery_2026,,,,1.48929757415317e-11
storage_p_sum,HIGHVELD SOUTH battery_2028,,,,-6.0254023992456496e-12
storage_p_sum,JOHANNESBURG battery_2020,,,,-6.321418600791654e-12
storage_p_sum,JOHANNESBURG battery_2022,,,,5.115907697472721e-13
storage_p_sum,JOHANNESBURG battery_2024,,,,2.171849023952669e-12
storage_p_sum,JOHANNESBURG battery_2026,,,,-5.9401372709544376e-12
storage_p_sum,JOHANNESBURG battery_2028,,,,-1.1368683772161603e-13
storage_p_sum,KAROO battery_2020,,,,-2.603339765983037e-11
storage_p_sum,KAROO battery_2022,,,,1.0473399925103877e-11
storage_p_sum,KAROO battery_2024,,,,-8.86046791492845e-12
storage_p_sum,KAROO battery_2026,,,,-5.091038701721118e-12
storage_p_sum,KAROO battery_2028,,,,-1.7053025658242404e-13
storage_p_sum,KIMBERLEY battery_2020,,,,-5.684341886080802e-14
storage_p_sum,KIMBERLEY battery_2022,,,,-3.979039320256561e-13
storage_p_sum,KIMBERLEY battery_2026,,,,-1.8189894035458565e-12
storage_p_sum,LADYSMITH battery_2020,,,,2.6853186341213586e-11
storage_p_sum,LADYSMITH battery_2022,,,,2.212807714840892e-11
storage_p_sum,LADYSMITH battery_2024,,,,1.5162981981120538e-11
storage_p_sum,LADYSMITH battery_2026,,,,8.099299009245442e-12
storage_p_sum,LADYSMITH battery_2028,,,,1.0153655694011832e-11
storage_p_sum,LOWVELD battery_2020,,,,6.856737400084967e-13
storage_p_sum,LOWVELD battery_2022,,,,1.1368683772161603e-13
storage_p_sum,LOWVELD battery_2024,,,,-3.126388037344441e-13
storage_p_sum,LOWVELD battery_2026,,,,8.526512829121202e-13
storage_p_sum,LOWVELD battery_2028,,,,5.684341886080802e-14
storage_p_sum,NAMAQUALAND battery_2020,,,,8.776979143476638e-12
storage_p_sum,NAMAQUALAND battery_2022,,,,-3.1889157980913296e-11
storage_p_sum,NAMAQUALAND battery_2024,,,,6.195932655828074e-12
storage_p_sum,NEWCASTLE battery_2020,,,,3.7552183584921295e-12
storage_p_sum,NEWCASTLE battery_2022,,,,-4.511946372076636e-12
storage_p_sum,NEWCASTLE battery_2024,,,,4.177991286269389e-12
storage_p_sum,NEWCASTLE battery_2026,,,,8.022027486731531e-12
storage_p_sum,NEWCASTLE battery_2028,,,,-1.7621459846850485e-12
storage_p_sum,NIGEL battery_2020,,,,-1.1669953892123885e-10
storage_p_sum,NIGEL battery_2022,,,,6.17106366007647e-12
storage_p_sum,NIGEL battery_2024,,,,-5.826450433232822e-11
storage_p_sum,NIGEL battery_2026,,,,3.297184747452775e-11
storage_p_sum,NIGEL battery_2028,,,,-7.30615568045323e-12
storage_p_sum,PENINSULA battery_2020,,,,-4.299660650305802e-12
storage_p_sum,PENINSULA battery_2022,,,,-1.8142147149498417e-11
storage_p_sum,PENINSULA battery_2024,,,,-9.288212612263246e-13
storage_p_sum,PENINSULA battery_2026,,,,-3.110470520735189e-12
storage_p_sum,PENINSULA battery_2028,,,,-1.3926637620897964e-12
storage_p_sum,PINETOWN battery_2020,,,,-1.1780798558902461e-11
storage_p_sum,PINETOWN battery_2022,,,,-1.8474111129762605e-12
storage_p_sum,PINETOWN battery_2024,,,,8.071765478234738e-12
storage_p_sum,PINETOWN battery_2026,,,,2.499975487213323e-12
storage_p_sum,PINETOWN battery_2028,,,,2.8717275951330342e-12
storage_p_sum,POLOKWANE battery_2020,,,,-2.6982860390489805e-12
storage_p_sum,POLOKWANE battery_2022,,,,2.504663143554353e-13
storage_p_sum,POLOKWANE battery_2024,,,,1.5831780331154732e-13
storage_p_sum,POLOKWANE battery_2026,,,,2.1671553440683056e-13
storage_p_sum,POLOKWANE battery_2028,,,,-2.6707525080382766e-12
